Month,Year,TOTAL,ANOM,Date,TOTAL,ANOM
1,1950,24.72,-1.53,01.01.1950,24.72,-1.53
2,1950,25.17,-1.34,01.02.1950,25.17,-1.34
3,1950,25.75,-1.16,01.03.1950,25.75,-1.16
4,1950,26.12,-1.18,01.04.1950,26.12,-1.18
5,1950,26.32,-1.07,01.05.1950,26.32,-1.07
6,1950,26.31,-0.85,01.06.1950,26.31,-0.85
7,1950,26.21,-0.54,01.07.1950,26.21,-0.54
8,1950,25.96,-0.42,01.08.1950,25.96,-0.42
9,1950,25.76,-0.39,01.09.1950,25.76,-0.39
10,1950,25.63,-0.44,01.10.1950,25.63,-0.44
11,1950,25.48,-0.6,01.11.1950,25.48,-0.6
12,1950,25.34,-0.8,01.12.1950,25.34,-0.8
1,1951,25.42,-0.82,01.01.1951,25.42,-0.82
2,1951,25.96,-0.54,01.02.1951,25.96,-0.54
3,1951,26.74,-0.17,01.03.1951,26.74,-0.17
4,1951,27.48,0.18,01.04.1951,27.48,0.18
5,1951,27.75,0.36,01.05.1951,27.75,0.36
6,1951,27.75,0.58,01.06.1951,27.75,0.58
7,1951,27.44,0.7,01.07.1951,27.44,0.7
8,1951,27.28,0.89,01.08.1951,27.28,0.89
9,1951,27.14,0.99,01.09.1951,27.14,0.99
10,1951,27.22,1.15,01.10.1951,27.22,1.15
11,1951,27.12,1.04,01.11.1951,27.12,1.04
12,1951,26.95,0.81,01.12.1951,26.95,0.81
1,1952,26.78,0.53,01.01.1952,26.78,0.53
2,1952,26.87,0.37,01.02.1952,26.87,0.37
3,1952,27.25,0.34,01.03.1952,27.25,0.34
4,1952,27.6,0.29,01.04.1952,27.6,0.29
5,1952,27.59,0.2,01.05.1952,27.59,0.2
6,1952,27.17,0,01.06.1952,27.17,0
7,1952,26.67,-0.08,01.07.1952,26.67,-0.08
8,1952,26.39,0,01.08.1952,26.39,0
9,1952,26.3,0.15,01.09.1952,26.3,0.15
10,1952,26.17,0.1,01.10.1952,26.17,0.1
11,1952,26.13,0.04,01.11.1952,26.13,0.04
12,1952,26.29,0.15,01.12.1952,26.29,0.15
1,1953,26.65,0.4,01.01.1953,26.65,0.4
2,1953,27.1,0.6,01.02.1953,27.1,0.6
3,1953,27.53,0.63,01.03.1953,27.53,0.63
4,1953,27.96,0.66,01.04.1953,27.96,0.66
5,1953,28.14,0.75,01.05.1953,28.14,0.75
